bus,plateNumber,route_id,request_id,user_id,request_created_at,route_departure_name,route_departure_id,route_arrival_name,route_arrival_id,request_accepted_at,request_etd,request_eta,route_atd,route_ata,passengers,request_departure_name,request_departure_id,request_arrival_name,request_arrival_id,status
3,IPT 7081,229,250,24,2024-04-22 09:12:11.920000,Aigaiou,7,Plateia Vergoti,2,2024-04-22 09:12:12.200479,2024-04-22 09:16:45.000000,2024-04-22 09:32:00.000000,2024-04-22 09:16:56.193457,2024-04-22 09:33:41.731678,1,Aigaiou,7,Plateia Vergoti,2,COMPLETED
2,IPO 7757,238,251,23,2024-04-22 09:12:17.702000,Trochaia,9,Plateia Glyfadas,1,2024-04-22 09:12:18.850443,2024-04-22 09:18:15.000000,2024-04-22 09:28:32.000000,2024-04-22 09:47:09.587502,2024-04-22 10:01:55.184421,1,Trochaia,9,Plateia Glyfadas,1,COMPLETED
3,IPT 7081,239,252,30,2024-04-22 09:19:07.889000,DEI,8,Plateia Vergoti,2,2024-04-22 09:19:08.617958,2024-04-22 09:39:51.000000,2024-04-22 09:48:55.000000,2024-04-22 09:47:40.319491,2024-04-22 09:59:08.172397,1,DEI,8,Plateia Vergoti,2,COMPLETED
1,IPT 7084,235,253,25,2024-04-22 09:23:28.712000,Gymnasio,4,Kyprou,3,2024-04-22 09:23:28.972841,2024-04-22 09:37:38.000000,2024-04-22 09:42:44.000000,2024-04-22 09:40:34.449999,2024-04-22 09:46:35.182542,1,Gymnasio,4,Kyprou,3,COMPLETED
4,ITN 1930,234,254,48,2024-04-22 09:29:03.940000,Kyprou,3,Trochaia,9,2024-04-22 09:29:04.697323,2024-04-22 09:33:36.000000,2024-04-22 09:40:48.000000,2024-04-22 09:36:14.330468,2024-04-22 09:42:11.913599,1,Kyprou,3,Trochaia,9,COMPLETED
4,ITN 1930,236,257,28,2024-04-22 09:42:25.912000,Trochaia,9,Antheon,6,2024-04-22 09:42:26.656305,2024-04-22 09:42:25.000000,2024-04-22 09:48:33.000000,2024-04-22 09:42:36.412827,2024-04-22 09:47:02.723742,2,Trochaia,9,Antheon,6,COMPLETED
4,ITN 1930,240,258,48,2024-04-22 09:42:39.987000,Plateia Vergoti,2,Gymnasio,4,2024-04-22 09:42:40.662618,2024-04-22 09:54:54.000000,2024-04-22 10:04:01.000000,2024-04-22 09:56:07.757026,2024-04-22 09:56:12.119879,1,Plateia Vergoti,2,Gymnasio,4,COMPLETED
1,IPT 7084,243,259,27,2024-04-22 09:55:47.622000,Gymnasio,4,Kyprou,3,2024-04-22 09:55:47.719554,2024-04-22 10:00:45.000000,2024-04-22 10:14:32.000000,2024-04-22 10:28:33.922240,2024-04-22 10:35:19.863477,1,Gymnasio,4,Plateia Glyfadas,1,COMPLETED
1,IPT 7084,245,259,27,2024-04-22 09:55:47.622000,Kyprou,3,Plateia Glyfadas,1,2024-04-22 09:55:47.719554,2024-04-22 10:00:45.000000,2024-04-22 10:14:32.000000,2024-04-22 10:35:20.452902,2024-04-22 10:39:12.295898,1,Gymnasio,4,Plateia Glyfadas,1,COMPLETED
1,IPT 7084,245,260,25,2024-04-22 09:55:55.415000,Kyprou,3,Plateia Glyfadas,1,2024-04-22 09:55:55.652145,2024-04-22 10:05:51.000000,2024-04-22 10:14:32.000000,2024-04-22 10:35:20.452902,2024-04-22 10:39:12.295898,1,Kyprou,3,Trochaia,9,COMPLETED
1,IPT 7084,246,260,25,2024-04-22 09:55:55.415000,Plateia Glyfadas,1,Trochaia,9,2024-04-22 09:55:55.652145,2024-04-22 10:05:51.000000,2024-04-22 10:14:32.000000,2024-04-22 10:39:12.980813,2024-04-22 10:45:26.307586,1,Kyprou,3,Trochaia,9,COMPLETED
3,IPT 7081,241,261,28,2024-04-22 09:59:18.288000,DEI,8,Plateia Glyfadas,1,2024-04-22 09:59:19.025810,2024-04-22 10:07:08.000000,2024-04-22 10:14:41.000000,2024-04-22 10:17:20.933678,2024-04-22 10:25:06.123743,1,DEI,8,Plateia Glyfadas,1,COMPLETED
3,IPT 7081,244,262,30,2024-04-22 10:01:04.974000,Antheon,6,Agios Tryfon,10,2024-04-22 10:01:05.374232,2024-04-22 10:15:59.000000,2024-04-22 10:22:44.000000,2024-04-22 10:32:42.192522,2024-04-22 10:39:24.457195,1,Antheon,6,Agios Tryfon,10,COMPLETED
2,IPO 7757,247,263,28,2024-04-22 10:36:21.418000,Kyprou,3,Aigaiou,7,2024-04-22 10:36:22.176258,2024-04-22 10:44:34.000000,2024-04-22 10:52:08.000000,2024-04-22 10:42:52.099152,2024-04-22 10:51:22.112787,3,Kyprou,3,Aigaiou,7,COMPLETED
2,IPO 7757,252,264,23,2024-04-22 10:36:33.841000,Trochaia,9,Plateia Glyfadas,1,2024-04-22 10:36:35.027924,2024-04-22 10:58:09.000000,2024-04-22 11:08:26.000000,2024-04-22 10:57:17.885192,2024-04-22 11:05:28.171041,1,Trochaia,9,Plateia Glyfadas,1,COMPLETED
3,IPT 7081,248,265,27,2024-04-22 10:41:11.011000,DEI,8,Trochaia,9,2024-04-22 10:41:11.010061,2024-04-22 10:44:17.000000,2024-04-22 10:51:46.000000,2024-04-22 10:48:46.749455,2024-04-22 10:51:28.316403,1,DEI,8,Trochaia,9,COMPLETED
1,IPT 7084,251,266,25,2024-04-22 10:47:35.789000,Kyprou,3,Trochaia,9,2024-04-22 10:47:35.849398,2024-04-22 10:58:44.000000,2024-04-22 11:05:56.000000,2024-04-22 10:53:32.663889,2024-04-22 11:01:04.728036,1,Kyprou,3,Trochaia,9,COMPLETED
4,ITN 1930,256,272,47,2024-04-23 09:10:15.732000,Plateia Vergoti,2,Gymnasio,4,2024-04-23 09:10:15.677669,2024-04-23 09:10:15.000000,2024-04-23 09:19:22.000000,2024-04-23 09:19:04.220342,2024-04-23 09:31:05.911155,1,Plateia Vergoti,2,Gymnasio,4,COMPLETED
2,IPO 7757,255,273,24,2024-04-23 09:10:15.914000,Plateia Vergoti,2,Aigaiou,7,2024-04-23 09:10:16.344034,2024-04-23 09:14:03.000000,2024-04-23 09:23:54.000000,2024-04-23 09:15:42.768804,2024-04-23 09:26:44.429441,1,Plateia Vergoti,2,Aigaiou,7,COMPLETED
