bus,plateNumber,request_id,user_id,request_created_at,request_cancelled_at,request_etd,request_eta,passengers,request_departure_name,departure_id,request_arrival_name,request_arrival_id,status
NULL,NULL,604,57,2024-05-08 08:17:23.790000,2024-05-08 08:17:24.564695,NULL,NULL,1,Plateia Karaiskaki,11,Antheon,6,CANCELLED
NULL,NULL,605,57,2024-05-08 08:17:27.736000,2024-05-08 08:17:28.584260,NULL,NULL,1,Plateia Karaiskaki,11,Agia Triada,5,CANCELLED
NULL,NULL,606,25,2024-05-08 08:17:50.495000,2024-05-08 08:17:51.040581,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,607,25,2024-05-08 08:18:00.931000,2024-05-08 08:18:01.255581,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,608,25,2024-05-08 08:18:25.286000,2024-05-08 08:18:25.623856,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,609,24,2024-05-08 08:19:33.752000,2024-05-08 08:19:34.219668,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,610,24,2024-05-08 08:19:39.790000,2024-05-08 08:19:40.222068,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,611,24,2024-05-08 08:19:45.573000,2024-05-08 08:19:46.053845,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,612,24,2024-05-08 08:20:05.119000,2024-05-08 08:20:05.857473,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,613,24,2024-05-08 08:20:08.791000,2024-05-08 08:20:09.238456,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,614,24,2024-05-08 08:20:13.274000,2024-05-08 08:20:13.834824,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,615,24,2024-05-08 08:20:30.952000,2024-05-08 08:20:31.401541,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,616,47,2024-05-08 08:20:44.623000,2024-05-08 08:20:44.718930,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,617,24,2024-05-08 08:20:51.176000,2024-05-08 08:20:51.867548,NULL,NULL,2,Antheon,6,Kyprou,3,CANCELLED
NULL,NULL,619,25,2024-05-08 08:22:50.959000,2024-05-08 08:22:51.272588,NULL,NULL,1,Agia Triada,5,Plateia Glyfadas,1,CANCELLED
NULL,NULL,621,57,2024-05-08 08:32:19.822000,2024-05-08 08:32:20.764159,NULL,NULL,1,Plateia Karaiskaki,11,Agia Triada,5,CANCELLED
NULL,NULL,622,57,2024-05-08 08:32:26.241000,2024-05-08 08:32:27.127322,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
3,IPT 7081,624,86,2024-05-08 08:33:28.161000,2024-06-10 10:23:44.167874,2024-05-08 08:41:16.000000,2024-05-08 08:48:57.000000,1,DEI,8,Plateia Glyfadas,1,CANCELLED
3,IPT 7081,625,86,2024-05-08 08:33:52.287000,2024-06-10 10:23:44.167886,2024-05-08 08:33:52.000000,2024-05-08 08:41:32.000000,1,DEI,8,Plateia Glyfadas,1,CANCELLED
NULL,NULL,627,59,2024-05-08 08:34:30.560000,2024-05-08 08:34:30.704470,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
NULL,NULL,628,59,2024-05-08 08:34:35.163000,2024-05-08 08:34:35.219240,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
NULL,NULL,629,59,2024-05-08 08:35:48.690000,2024-05-08 08:35:48.818169,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
NULL,NULL,630,59,2024-05-08 08:36:42.888000,2024-05-08 08:36:42.992772,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
NULL,NULL,631,59,2024-05-08 08:37:56.456000,2024-05-08 08:37:56.569544,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
NULL,NULL,632,59,2024-05-08 08:38:40.071000,2024-05-08 08:38:40.188546,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
NULL,NULL,633,59,2024-05-08 08:39:07.268000,2024-05-08 08:39:07.397632,NULL,NULL,1,Plateia Vergoti,2,Agia Triada,5,CANCELLED
3,IPT 7081,637,27,2024-05-08 09:06:46.778000,2024-05-08 09:15:46.917062,2024-05-08 09:15:11.000000,2024-05-08 09:21:11.000000,2,Aigaiou,7,Trochaia,9,CANCELLED
3,IPT 7081,645,47,2024-05-08 09:37:31.008000,2024-05-08 09:37:55.559359,2024-05-08 09:44:52.000000,2024-05-08 09:47:36.000000,2,Kyprou,3,Plateia Glyfadas,1,CANCELLED
3,IPT 7081,646,47,2024-05-08 09:38:10.643000,2024-05-08 09:38:19.999165,2024-05-08 09:38:10.000000,2024-05-08 09:40:54.000000,2,Kyprou,3,Plateia Glyfadas,1,CANCELLED
3,IPT 7081,647,47,2024-05-08 09:38:31.288000,2024-05-08 09:38:51.390900,2024-05-08 09:38:31.000000,2024-05-08 09:41:15.000000,2,Kyprou,3,Plateia Glyfadas,1,CANCELLED
NULL,NULL,649,24,2024-05-08 09:41:28.087000,2024-05-08 09:41:28.647919,NULL,NULL,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
